Member of Cabinet,Written,Question No,Date Published,Date Replied,Timeousness
Public S and Administration,Oral,134,41753,41754,on time
Public S and Administration,Oral,135,41753,41754,on time
"Women, C&PwD",Oral,136,41753,41754,on time
Performance Monitoring,Written,775,41755,41766,on time
Justice and CD,Written,776,41755,41768,on time
Social Development,Written,777,41755,41808,Very late
Social Development,Written,778,41755,41801,Very late
Justice and CD,Written,779,41755,41768,on time
Water & Environmental affairs,Written,780,41755,41787,late
Health ,Written,781,41755,41787,late
Health ,Written,782,41755,41802,very late
Home affairs,Written,783,41755,41793,Late
Home affairs,Written,784,41755,41779,Late
Home affairs,Written,785,41755,41793,Late
Home affairs,Written,786,41755,41765,On time
Home affairs,Written,787,41755,41793,Late
Home affairs,Written,788,41755,41765,On time
Home affairs,Written,789,41755,41765,On time
Home affairs,Written,790,41755,41779,Late
Home affairs,Written,791,41755,41779,Late
Home affairs,Written,792,41755,41793,Late
Home affairs,Written,793,41755,41765,On time
Home affairs,Written,794,41755,41793,Late
Home affairs,Written,795,41755,41765,On time
Home affairs,Written,796,41755,41786,Late
Social Development,Written,797,41755,41818,Very late
Energy ,Written,798,41755,41787,late
Health ,Written,802,41755,41857,very late
Health ,Written,803,41755,41802,very late
Police,Written,804,41755,41787,late
Performance Monitoring,Written,805,41755,41803,very late
Performance Monitoring,Written,806,41755,41803,very late
Economic Development,Written,809,41755,41772,on time
Economic Development,Written,810,41755,41772,on time
Defence & MVs,Written,811,41755,41801,very late
Defence & MVs,Written,812,41755,41801,very late
Defence & MVs,Written,813,41755,41801,very late
Justice and CD,Written,816,41755,41769,on time
Performance Monitoring,Written,817,41755,41803,very late
Health ,Written,818,41755,41787,late
Water & Environmental affairs,Written,819,41755,41773,late
Labour,Written,820,41755,41787,late
Economic Development,Written,821,41755,41772,on time
Home affairs,Written,822,41755,41779,Late
Public Enterprises,Written,823,41755,41779,late
Intl Relations and Cooperation,Written,827,41755,41775,late
Economic Development,Written,828,41755,41772,on time
Social Development,Written,830,41762,41899,Very late
Home affairs,Written,831,41762,41779,Late
Mineral resources,Written,832,41762,41789,Late
Public Enterprises,Written,834,41762,41781,late
Public Enterprises,Written,835,41762,41786,late
Public Works,Written,836,41762,41814,very late
Public Works,Written,837,41762,41814,very late
Police,Written,839,41762,41787,late
Police,Written,841,41762,41787,late
Police,Written,842,41762,41787,late
Police,Written,843,41762,41787,late
Police,Written,844,41762,41787,late
Police,Written,845,41762,41787,late
Police,Written,846,41762,41801,late
Police,Written,847,41762,41801,late
Health ,Written,851,41762,41983,very late
Health ,Written,852,41762,41802,late
Health ,Written,853,41762,41787,late
Sport & Recreation ,Written,854,41762,41774,on time
Police,Written,855,41762,41801,late
Police,Written,856,41762,41787,late
Police,Written,857,41762,41787,late
Police,Written,858,41762,41787,late
Police,Written,859,41762,41787,late
Police,Written,860,41762,41787,late
Police,Written,861,41762,41801,late
Police,Written,862,41762,41787,late
Police,Written,863,41762,41787,late
Home affairs,Written,864,41762,41793,Late
Home affairs,Written,865,41762,41793,Late
Home affairs,Written,866,41762,41793,Late
Science & Technology,Written ,867,41762,41780,late
Labour,Written,868,41762,41787,late
Science & Technology,Written ,869,41762,41776,on time
Science & Technology,Written ,870,41762,41776,on time
Water & Environmental affairs,Written,871,41762,41787,late
Water & Environmental affairs,Written,872,41762,41786,late
Labour,Written,873,41762,41787,late
Labour,Written,874,41762,41787,late
Finance,Written,875,41762,41796,Late
Energy ,Written,876,41762,41787,late
Transport,Written,877,41762,41786,late
Water & Environmental affairs,Written,878,41762,41787,late
Water & Environmental affairs,Written,879,41762,41787,late
Labour,Written,880,41762,41787,late
Home affairs,Written,882,41762,41779,Late
Home affairs,Written,883,41762,41793,Late
Public Works,Written,884,41762,41815,very late
Public Works,Written,885,41762,41800,Late
Police,Written,886,41762,41787,late
Police,Written,887,41762,41787,late
Public S and Administration,Written,888,41762,41796,late
Public S and Administration,Written,889,41762,41837,very late
Public S and Administration,Written,890,41762,41822,very late
Economic Development,Written,891,41762,41779,late
Social Development,Written,892,41762,41899,Very late
Social Development,Written,893,41762,41801,Late
Social Development,Written,894,41762,41808,Very late
Finance,Written,895,41762,41783,Late
Justice and CD,Written,896,41762,41768,on time
Transport,Written,897,41762,41823,very late
Public S and Administration,Written,898,41762,41814,very late
Water & Environmental affairs,Written,899,41762,41787,late
Water & Environmental affairs,Written,900,41762,41787,late
Public S and Administration,Written,904,41762,41839,very late
Energy ,Written,905,41762,41787,late
Labour,Written,906,41762,41787,late
Health ,Written,907,41762,41844,very late
Police,Written,908,41762,41801,late
"Women, C&PwD",Written,909,41762,41772,on time
Water & Environmental affairs,Written,910,41762,41786,late
Public Enterprises,Written,911,41762,41779,late
Defence & MVs,Written,912,41762,41801,late
Human settlements ,Written,913,41762,41788,late
Trade and Industry,Written,914,41762,41766,On time
Defence & MVs,Written,915,41762,41816,very late
Trade and Industry,Written,916,41762,41766,On time
Defence & MVs,Written,917,41762,41801,late
Health ,Written,918,41762,41801,late
Health ,Written,919,41762,41801,late
Transport,Written,920,41762,41780,late
Police,Written,922,41769,41787,late
Police,Written,924,41769,41787,late
Justice and CD,Written,925,41769,41782,on time
Police,Written,926,41769,41787,late
Police,Written,927,41769,41787,late
Defence & MVs,Written,928,41769,41801,late
Police,Written,929,41769,41787,late
Home affairs,Written,930,41769,41793,Late
Performance Monitoring,Written,931,41769,41846,very late
Economic Development,Written,932,41769,41783,on time
Economic Development,Written,933,41769,41786,late
Economic Development,Written,934,41769,41786,late
Health ,Written,935,41769,41802,late
Home affairs,Written,936,41769,41793,Late
Home affairs,Written,937,41769,41809,Late
Public S and Administration,Written,938,41769,41800,late
Public S and Administration,Written,939,41769,41795,late
Public S and Administration,Written,940,41769,41795,late
Health ,Written,944,41769,41823,very late
Health ,Written,945,41769,41837,very late
Health ,Written,946,41769,41801,late
Higher education and training,Written,947,41769,41795,late
Transport,Written,951,41769,41788,late
Performance Monitoring,Written,952,41769,41787,late
Public Works,Written,954,41769,41800,Late
Police,Written,955,41769,41801,late
Public Works,Written,956,41769,41814,very late
Finance,Written,957,41769,41796,Late
Water & Environmental affairs,Written,958,41769,41787,late
Health ,Written,959,41769,41823,very late
Economic Development,Written,967,41769,41783,on time
Energy ,Written,968,41769,41787,late
Higher education and training,Written,969,41769,41789,late
Home affairs,Written,970,41769,41808,Late
Human settlements ,Written,971,41769,41803,late
Intl Relations and Cooperation,Written,972,41769,41790,late
Justice and CD,Written,973,41769,41782,on time
Labour,Written,974,41769,41810,late
Mineral resources,Written,975,41769,41801,Late
Police,Written,976,41769,41787,late
Public Enterprises,Written,977,41769,41829,very late
Public S and Administration,Written,978,41769,41839,very late
Public Works,Written,979,41769,41800,Late
Rural Dev & Land Reforms,Written,980,41769,41801,late
Science & Technology,Written ,981,41769,41786,late
Social Development,Written,982,41769,41818,Very late
Sport & Recreation ,Written,983,41769,41871,very late
State Security,Written,984,41769,41877,very late
Tourism,Written,985,41769,41787,late
Transport,Written,986,41769,41808,late
Trade and Industry,Written,987,41769,41775,On time
"Women, C&PwD",Written,988,41769,41786,late
Performance Monitoring,Written,989,41769,41837,very late
Home affairs,Written,991,41769,41808,Late
Police,Written,992,41769,41787,late
Justice and CD,Written,993,41769,41782,on time
Police,Written,994,41769,41787,late
Home affairs,Written,995,41769,41793,Late
Performance Monitoring,Written,996,41769,41803,late
Defence & MVs,Written,997,41769,41801,late
Intl Relations and Cooperation,Written,998,41769,41800,late
Police,Written,999,41769,41787,late
Home affairs,Written,1000,41769,41793,Late
Finance,Written,1001,41769,41829,very late
Transport,Written,1002,41769,41856,very late
Defence & MVs,Written,1003,41769,41801,late
Police,Written,1004,41769,41801,late
Police,Written,1005,41769,41801,late
Police,Written,1006,41769,41787,late
Police,Written,1007,41769,41787,late
Finance,Written,1008,41769,41783,on time
Finance,Written,1009,41769,41783,on time
Social Development,Written,1010,41769,41817,Very late
Social Development,Written,1011,41769,41822,Very late
Social Development,Written,1012,41769,41800,Late
Social Development,Written,1013,41769,41822,Very late
Defence & MVs,Written,1014,41769,41801,late
Social Development,Written,1015,41769,41801,Late
Social Development,Written,1016,41769,41801,Late
Social Development,Written,1017,41769,41801,Late
Water & Environmental affairs,Written,1018,41769,41787,late
Labour,Written,1019,41769,41787,late
Finance,Written,1020,41769,41783,on time
Defence & MVs,Written,1023,41769,41801,late
Human settlements ,Written,1027,41769,41816,very late
Human settlements ,Written,1028,41769,41803,late
Transport,Written,1029,41769,41786,late
Performance Monitoring,Written,1030,41769,41787,late
Performance Monitoring,Written,1031,41769,41803,late
Social Development,Written,1032,41769,41800,Late
Water & Environmental affairs,Written,1033,41769,41787,late
Finance,Written,1034,41769,41779,on time
Defence & MVs,Written,1035,41769,41867,very late
Performance Monitoring,Written,1036,41769,41787,late
Defence & MVs,Written,1037,41769,41816,very late
Defence & MVs,Written,1038,41769,41816,very late
Energy ,Written,1039,41769,41801,late
Public Enterprises,Written,1041,41769,41788,late
Transport,Written,1042,41776,41808,late
Rural Dev & Land Reforms,Written,1043,41776,41787,on time
Rural Dev & Land Reforms,Written,1044,41776,41884,very late
Trade and Industry,Written,1045,41776,41783,On time
Home affairs,Written,1046,41776,41801,Late
Police,Written,1048,41776,41801,late
Defence & MVs,Written,1049,41776,41866,very late
Water & Environmental affairs,Written,1050,41776,41787,on time
Public Enterprises,Written,1051,41776,41786,on time
Economic Development,Written,1052,41776,41795,late
Economic Development,Written,1053,41776,41782,on time
Economic Development,Written,1054,41776,41786,on time
Public S and Administration,Written,1055,41776,41828,very late
Transport,Written,1056,41776,41808,late
Defence & MVs,Written,1057,41776,41801,late
Intl Relations and Cooperation,Written,1058,41776,41810,late
Defence & MVs,Written,1059,41776,41816,late
Health ,Written,1060,41776,41823,very late
Health ,Written,1061,41776,41802,late
Health ,Written,1062,41776,41802,late
Health ,Written,1063,41776,41802,late
Health ,Written,1064,41776,41802,late
Health ,Written,1065,41776,41802,late
Energy ,Written,1069,41776,41801,late
Energy ,Written,1070,41776,41801,late
Water & Environmental affairs,Written,1072,41776,41787,on time
State Security,Written,1073,41776,41800,late
Transport,Written,1074,41776,41786,late
Transport,Written,1075,41776,41786,late
Transport,Written,1076,41776,41808,late
Transport,Written,1077,41776,41786,late
Transport,Written,1078,41776,41786,late
Finance,Written,1079,41776,41849,very late
Water & Environmental affairs,Written,1080,41776,41801,late
Health ,Written,1081,41776,41802,late
Defence & MVs,Written,1088,41776,41857,very late
Economic Development,Written,1089,41776,41800,late
Energy ,Written,1090,41776,41801,late
Higher education and training,Written,1091,41776,41816,late
Home affairs,Written,1092,41776,41793,Late
Human settlements ,Written,1093,41776,41830,very late
Intl Relations and Cooperation,Written,1094,41776,41790,on time
Justice and CD,Written,1095,41776,41801,late
Labour,Written,1096,41776,41810,late
Mineral resources,Written,1097,41776,41801,Late
Police,Written,1098,41776,41801,late
Public Enterprises,Written,1099,41776,41893,very late
Public S and Administration,Written,1100,41776,41836,very late
Public Works,Written,1101,41776,41814,Late
Rural Dev & Land Reforms,Written,1102,41776,41843,very late
Science & Technology,Written ,1103,41776,41793,late
Social Development,Written,1104,41776,41976,Very late
Sport & Recreation ,Written,1105,41776,41934,very late
State Security,Written,1106,41776,41867,very late
Tourism,Written,1107,41776,41800,late
Transport,Written,1108,41776,41823,very late
Trade and Industry,Written,1109,41776,41789,On time
"Women, C&PwD",Written,1110,41776,41899,very late
Performance Monitoring,Written,1111,41776,41961,very late
Finance,Written,1112,41776,41829,very late
Health ,Written,1113,41776,41801,late
Economic Development,Written,1121,41776,41800,late
Energy ,Written,1122,41776,41801,late
Higher education and training,Written,1123,41776,41816,late
Home affairs,Written,1124,41776,41828,very late
Human settlements ,Written,1125,41776,41830,very late
Intl Relations and Cooperation,Written,1126,41776,41870,very late
Justice and CD,Written,1127,41776,41801,late
Labour,Written,1128,41776,41810,late
Mineral resources,Written,1129,41776,41789,on time
Police,Written,1130,41776,41801,late
Public Enterprises,Written,1131,41776,41985,very late
Public S and Administration,Written,1132,41776,41836,very late
Public Works,Written,1133,41776,41808,Late
Rural Dev & Land Reforms,Written,1134,41776,41801,late
Science & Technology,Written ,1135,41776,41793,late
Social Development,Written,1136,41776,41955,Very late
Sport & Recreation ,Written,1137,41776,41913,very late
State Security,Written,1138,41776,41800,late
Tourism,Written,1139,41776,41789,on time
Transport,Written,1140,41776,41823,very late
Trade and Industry,Written,1141,41776,41789,On time
"Women, C&PwD",Written,1142,41776,41899,very late
Performance Monitoring,Written,1143,41776,41970,very late
Finance,Written,1144,41776,41815,Late
Justice and CD,Written,1145,41776,41801,late
Public S and Administration,Written,1148,41776,41836,very late
Public S and Administration,Written,1149,41776,41853,very late
Trade and Industry,Written,1150,41776,41783,On time
Police,Written,1151,41776,41801,late
Police,Written,1152,41776,41801,late
Police,Written,1153,41776,41801,late
Home affairs,Written,1154,41776,41793,Late
Social Development,Written,1155,41776,41899,Very late
Defence & MVs,Written,1156,41776,41857,very late
Police,Written,1157,41776,41801,late
Water & Environmental affairs,Written,1158,41776,41801,late
Rural Dev & Land Reforms,Written,1160,41776,41787,on time
Health ,Written,1161,41776,41802,late
Defence & MVs,Written,1162,41776,41816,late
Energy ,Written,1163,41776,41801,late
Police,Written,1164,41776,41801,late
Police,Written,1165,41776,41801,late
Police,Written,1166,41776,41801,late
Economic Development,Written,1169,41776,41793,late
Finance,Written,1170,41776,41811,Late
Finance,Written,1171,41776,41796,Late
Police,Written,1172,41776,41801,late
Higher education and training,Written,1174,41776,41818,late
Higher education and training,Written,1175,41776,41795,late
Energy ,Written,1176,41776,41801,late
Higher education and training,Written,1177,41776,41797,late
Energy ,Written,1178,41776,41801,late
Transport,Written,1179,41783,41786,on time
Energy ,Written,1180,41783,41801,late
Transport,Written,1183,41783,41817,late
Performance Monitoring,Written,1184,41783,41954,very late
Police,Written,1185,41783,41801,late
Water & Environmental affairs,Written,1186,41783,41800,late
Energy ,Written,1187,41783,41801,late
Economic Development,Written,1191,41783,41797,on time
Defence & MVs,Written,1192,41783,41802,late
Defence & MVs,Written,1193,41783,41801,late
Transport,Written,1194,41783,41808,late
Higher education and training,Written,1198,41783,41808,late
Higher education and training,Written,1199,41783,41808,late
Higher education and training,Written,1200,41783,41808,late
Home affairs,Written,1201,41783,41803,Late
Home affairs,Written,1202,41783,41793,On time
Defence & MVs,Written,1203,41783,41816,late
Justice and CD,Written,1204,41783,41801,late
Labour,Written,1208,41783,41814,late
Transport,Written,1209,41783,41817,late
Justice and CD,Written,1210,41783,41801,late
Defence & MVs,Written,1211,41783,41857,very late
Higher education and training,Written,1212,41783,41794,on time
Higher education and training,Written,1213,41783,41794,on time
Finance,Written,1214,41783,41796,on time
Water & Environmental affairs,Written,1215,41783,41801,late
Health ,Written,1216,41783,41802,late
Defence & MVs,Written,1223,41783,41857,very late
Economic Development,Written,1224,41783,41800,late
Energy ,Written,1225,41783,41801,late
Higher education and training,Written,1226,41783,41789,on time
Home affairs,Written,1227,41783,41800,Late
Human settlements ,Written,1228,41783,41823,late
Intl Relations and Cooperation,Written,1229,41783,41800,late
Justice and CD,Written,1230,41783,41801,late
Labour,Written,1231,41783,41810,late
Mineral resources,Written,1232,41783,41789,on time
Police,Written,1233,41783,41801,late
Public Enterprises,Written,1234,41783,41800,late
Public S and Administration,Written,1235,41783,41853,very late
Public Works,Written,1236,41783,41808,Late
Rural Dev & Land Reforms,Written,1237,41783,41843,very late
Science & Technology,Written ,1238,41783,41800,late
Social Development,Written,1239,41783,41822,Late
Sport & Recreation ,Written,1240,41783,41935,very late
State Security,Written,1241,41783,41803,late
Tourism,Written,1242,41783,41789,on time
Transport,Written,1243,41783,41800,late
Trade and Industry,Written,1244,41783,41793,On time
"Women, C&PwD",Written,1245,41783,41899,very late
Performance Monitoring,Written,1246,41783,41955,very late
Police,Written,1247,41783,41801,late
Social Development,Written,1248,41783,41801,Late
Tourism,Written,1249,41783,41793,on time
Police,Written,1250,41783,41801,late
Social Development,Written,1251,41783,41808,Late
Finance,Written,1252,41783,41878,very late
Public Enterprises,Written,1253,41783,41808,late
Defence & MVs,Written,1255,41783,41816,late
Police,Written,1256,41783,41801,late
Transport,Written,1257,41783,41817,late
Police,Written,1258,41783,41801,late
Labour,Written,1259,41783,41814,late
Higher education and training,Written,1260,41783,41808,late
Health ,Written,1261,41783,41844,very late
Intl Relations and Cooperation,Written,1262,41783,41828,very late
Intl Relations and Cooperation,Written,1263,41783,41828,very late
Finance,Written,1264,41783,41803,Late
Finance,Written,1266,41790,41811,Late
Finance,Written,1267,41790,41811,Late
Trade and Industry,Written,1268,41790,41801,On time
Tourism,Written,1269,41790,41867,very late
Tourism,Written,1270,41790,41803,on time
Tourism,Written,1271,41790,41803,on time
Rural Dev & Land Reforms,Written,1272,41790,41801,on time
Rural Dev & Land Reforms,Written,1273,41790,41844,very late
Rural Dev & Land Reforms,Written,1274,41790,41829,late
Rural Dev & Land Reforms,Written,1275,41790,41801,on time
Tourism,Written,1276,41790,41803,on time
Public Enterprises,Written,1277,41790,41808,late
Labour,Written,1278,41790,41814,late
Mineral resources,Written,1280,41790,41801,on time
Police,Written,1281,41790,41815,late
Finance,Written,1282,41790,41803,on time
Finance,Written,1283,41790,41810,late
Public Works,Written,1284,41790,41808,Late
Police,Written,1285,41790,41815,late
Police,Written,1286,41790,41815,late
Transport,Written,1287,41790,41817,late
Trade and Industry,Written,1288,41790,41797,On time
Labour,Written,1292,41790,41830,late
Energy ,Written,1293,41790,41808,late
Labour,Written,1294,41790,41830,late
Water & Environmental affairs,Written,1295,41790,41815,late
Transport,Written,1296,41790,41856,very late
Transport,Written,1297,41790,41801,on time
Transport,Written,1298,41790,41801,on time
Mineral resources,Written,1299,41790,41801,on time
Mineral resources,Written,1300,41790,41815,Late
Home affairs,Written,1307,41790,41835,very late
Home affairs,Written,1308,41790,41809,Late
Home affairs,Written,1309,41790,41800,On time
Human settlements ,Written,1310,41790,41894,very late
Finance,Written,1311,41790,41815,Late
Water & Environmental affairs,Written,1312,41790,41800,on time
Health ,Written,1313,41790,41837,very late
Defence & MVs,Written,1320,41790,41857,very late
Economic Development,Written,1321,41790,41795,on time
Energy ,Written,1322,41790,41814,late
Higher education and training,Written,1323,41790,41808,late
Home affairs,Written,1324,41790,41808,Late
Human settlements ,Written,1325,41790,41873,very late
Intl Relations and Cooperation,Written,1326,41790,41838,very late
Justice and CD,Written,1327,41790,41815,late
Labour,Written,1328,41790,41830,late
Mineral resources,Written,1329,41790,41801,on time
Police,Written,1330,41790,41815,late
Public Enterprises,Written,1331,41790,41808,late
Public Works,Written,1333,41790,41815,Late
Rural Dev & Land Reforms,Written,1334,41790,41801,on time
Science & Technology,Written ,1335,41790,41802,on time
Social Development,Written,1336,41790,41808,Late
Sport & Recreation ,Written,1337,41790,41871,very late
State Security,Written,1338,41790,41867,very late
Tourism,Written,1339,41790,41803,on time
Transport,Written,1340,41790,41800,on time
Trade and Industry,Written,1341,41790,41795,On time
"Women, C&PwD",Written,1342,41790,41899,very late
Performance Monitoring,Written,1343,41790,41913,very late
Defence & MVs,Written,1344,41790,41857,very late
Defence & MVs,Written,1345,41790,41857,very late
Police,Written,1346,41790,41815,late
Police,Written,1347,41790,41815,late
Police,Written,1348,41790,41871,very late
Social Development,Written,1349,41790,41818,Late
Social Development,Written,1350,41790,41808,Late
Tourism,Written,1351,41790,41815,late
Higher education and training,Written,1352,41790,41816,late
Higher education and training,Written,1353,41790,41818,late
Higher education and training,Written,1354,41790,41816,late
Labour,Written,1355,41790,41830,late
Public Enterprises,Written,1356,41790,41808,late
Finance,Written,1357,41790,41808,Late
Public S and Administration,Written,1358,41790,41836,very late
Water & Environmental affairs,Written,1361,41790,41811,late
Defence & MVs,Written,1362,41790,41816,late
Social Development,Written,1363,41790,41818,Late
Water & Environmental affairs,Written,1368,41790,41800,on time
Labour,Oral,138,41795,41810,late
Trade and Industry,Oral,139,41795,41795,on time
Public Enterprises,Oral,140,41795,41800,late
Economic Development,Oral,141,41795,41795,on time
Energy ,Oral,142,41795,41801,late
Trade and Industry,Oral,144,41795,41795,on time
Energy ,Oral,145,41795,41801,late
Rural Dev & Land Reforms,Oral,149,41795,41796,on time
Mineral resources,Oral,150,41795,41796,on time
Rural Dev & Land Reforms,Oral,151,41795,41796,on time
Tourism,Oral,152,41795,41795,on time
Tourism,Oral,153,41795,41795,on time
Tourism,Oral,154,41795,41795,on time
Tourism,Oral,155,41795,41795,on time
Public Enterprises,Oral,156,41795,41801,late
Public Enterprises,Oral,157,41795,41800,late
Public Enterprises,Oral,158,41795,41800,late
Rural Dev & Land Reforms,Oral,159,41795,41796,on time
Public Enterprises,Oral,160,41795,41801,late
Economic Development,Oral,161,41795,41795,on time
Economic Development,Oral,162,41795,41795,on time
Economic Development,Oral,163,41795,41795,on time
Public Works,Oral,164,41795,41796,on time
Public Works,Oral,165,41795,41796,on time
Tourism,Oral,166,41795,41795,on time
Science & Technology,Oral,168,41795,41795,on time
Science & Technology,Oral,169,41795,41795,on time
Mineral resources,Oral,170,41795,41796,on time
Public Enterprises,Oral,171,41795,41800,late
Public Works,Oral,172,41795,41796,on time
Transport,Oral,173,41795,41801,late
Public Works,Oral,174,41795,41796,on time
Transport,Oral,175,41795,41801,late
Trade and Industry,Oral,176,41795,41796,on time
Finance,Oral,179,41795,41796,on time
Economic Development,Oral,180,41795,41795,on time
Finance,Oral,181,41795,41796,on time
Public Enterprises,Oral,183,41795,41800,late
Labour,Oral,184,41795,41810,late
Labour,Oral,186,41795,41810,late
Trade and Industry,Oral,187,41795,41795,on time
Mineral resources,Oral,188,41795,41796,on time
Mineral resources,Oral,189,41795,41796,on time
Science & Technology,Oral,190,41795,41795,on time
Tourism,Oral,191,41795,41795,on time
Labour,Oral,195,41795,41810,late
Finance,Oral,196,41795,41796,on time
Rural Dev & Land Reforms,Oral,199,41795,41796,on time
Public Works,Oral,200,41795,41796,on time
Transport,Written,1369,41797,41817,late
Finance,Written,1371,41797,41810,on time
Public Enterprises,Written,1372,41797,41808,on time
Human settlements ,Written,1373,41797,41830,late
Human settlements ,Written,1374,41797,41830,late
Home affairs,Written,1375,41797,41816,Late
Home affairs,Written,1376,41797,41822,Late
Home affairs,Written,1377,41797,41809,On time
Public Works,Written,1378,41797,41815,Late
Mineral resources,Written,1379,41797,41814,on time
State Security,Written,1380,41797,41867,very late
Home affairs,Written,1381,41797,41809,On time
Home affairs,Written,1382,41797,41828,Late
Home affairs,Written,1383,41797,41808,On time
Police,Written,1384,41797,41815,late
Police,Written,1385,41797,41815,late
Police,Written,1386,41797,41857,very late
Higher education and training,Written,1390,41797,41818,late
Higher education and training,Written,1391,41797,41816,late
Water & Environmental affairs,Written,1393,41797,41815,late
Home affairs,Written,1394,41797,41822,Late
Social Development,Written,1395,41797,41934,Very late
Social Development,Written,1396,41797,41899,Very late
Social Development,Written,1397,41797,41818,Late
Social Development,Written,1398,41797,41835,Late
Social Development,Written,1399,41797,41934,Very late
Social Development,Written,1400,41797,41843,Very late
Social Development,Written,1401,41797,41818,Late
"Women, C&PwD",Written,1402,41797,41899,very late
Finance,Written,1403,41797,41829,Late
Water & Environmental affairs,Written,1404,41797,41815,late
Health ,Written,1405,41797,41823,late
Defence & MVs,Written,1412,41797,41801,on time
Economic Development,Written,1413,41797,41808,on time
Energy ,Written,1414,41797,41814,late
Higher education and training,Written,1415,41797,41808,on time
Home affairs,Written,1416,41797,41816,Late
Human settlements ,Written,1417,41797,41864,very late
Intl Relations and Cooperation,Written,1418,41797,41810,on time
Justice and CD,Written,1419,41797,41815,late
Labour,Written,1420,41797,41830,late
Mineral resources,Written,1421,41797,41815,Late
Police,Written,1422,41797,41815,late
Public Enterprises,Written,1423,41797,41814,on time
Public S and Administration,Written,1424,41797,41811,on time
Public Works,Written,1425,41797,41814,on time
Rural Dev & Land Reforms,Written,1426,41797,41829,late
Science & Technology,Written ,1427,41797,41802,on time
Social Development,Written,1428,41797,41818,Late
Sport & Recreation ,Written,1429,41797,41942,very late
State Security,Written,1430,41797,41804,On time
Tourism,Written,1431,41797,41811,on time
Transport,Written,1432,41797,41831,on time
Trade and Industry,Written,1433,41797,41801,On time
"Women, C&PwD",Written,1434,41797,41933,very late
Police,Written,1435,41797,41815,late
Police,Written,1436,41797,41815,late
Public Enterprises,Written,1437,41797,41808,on time
Energy ,Written,1438,41797,41814,late
Rural Dev & Land Reforms,Written,1439,41797,41850,very late
Energy ,Written,1441,41797,41913,very late
Defence & MVs,Written,1442,41797,41816,late
Health ,Written,1444,41797,41823,late
Home affairs,Written,1446,41797,41843,very late
Police,Written,1447,41797,41815,late
Intl Relations and Cooperation,Written,1448,41797,41837,late
Labour,Written,1449,41797,41810,on time
Health ,Written,1450,41797,41823,late
Labour,Written,1451,41797,41810,on time
Finance,Written,1454,41797,41825,Late
Finance,Written,1455,41797,41825,Late
Health ,Written,1456,41797,41837,late
Human settlements ,Written,1458,41797,41894,very late
Police,Written,1461,41797,41815,late
Intl Relations and Cooperation,Written,1462,41797,41837,late
Public S and Administration,Written,1463,41797,41814,on time
Rural Dev & Land Reforms,Written,1464,41797,41829,late
Rural Dev & Land Reforms,Written,1465,41797,41850,very late
Performance Monitoring,Written,1467,41804,41968,very late
Economic Development,Written,1468,41804,41816,on time
Home affairs,Written,1469,41804,41816,On time
Home affairs,Written,1470,41804,41822,Late
Home affairs,Written,1471,41804,41828,Late
Home affairs,Written,1472,41804,41899,very late
Home affairs,Written,1473,41804,41822,Late
Home affairs,Written,1474,41804,41822,Late
Public Works,Written,1475,41804,41825,Late
Labour,Written,1477,41804,41830,late
Public Works,Written,1478,41804,41815,on time
Performance Monitoring,Written,1479,41804,41857,very late
Performance Monitoring,Written,1480,41804,41825,late
Performance Monitoring,Written,1481,41804,41857,very late
Justice and CD,Written,1486,41804,41815,on time
Police,Written,1490,41804,41857,very late
Police,Written,1491,41804,41831,late
Police,Written,1492,41804,41857,very late
Police,Written,1493,41804,41831,late
Police,Written,1494,41804,41831,late
Higher education and training,Written,1495,41804,41818,on time
Higher education and training,Written,1496,41804,41836,late
Economic Development,Written,1500,41804,41825,late
Economic Development,Written,1501,41804,41823,late
Economic Development,Written,1502,41804,41814,on time
Trade and Industry,Written,1503,41804,41810,On time
Social Development,Written,1504,41804,41899,Very late
Health ,Written,1505,41804,41857,very late
Social Development,Written,1506,41804,41899,Very late
Social Development,Written,1507,41804,41822,Late
Social Development,Written,1508,41804,41822,Late
Social Development,Written,1509,41804,41818,on time
Social Development,Written,1510,41804,41818,on time
Social Development,Written,1511,41804,41899,Very late
Social Development,Written,1512,41804,41818,on time
Social Development,Written,1513,41804,41818,on time
Social Development,Written,1514,41804,41818,on time
Social Development,Written,1515,41804,41818,on time
Social Development,Written,1516,41804,41818,on time
Transport,Written,1518,41804,41856,very late
Transport,Written,1519,41804,41817,on time
Social Development,Written,1521,41804,41835,Late
Energy ,Written,1523,41804,41913,very late
Energy ,Written,1524,41804,41919,very late
Energy ,Written,1525,41804,41913,very late
Transport,Written,1526,41804,41817,on time
Transport,Written,1527,41804,41817,on time
Transport,Written,1528,41804,41817,on time
Public Works,Written,1529,41804,41830,Late
Public Works,Written,1530,41804,41880,very late
Finance,Written,1532,41804,41825,Late
Health ,Written,1533,41804,41837,late
Human settlements ,Written,1534,41804,41870,very late
Health ,Written,1535,41804,41837,late
Finance,Written,1536,41804,41821,on time
Finance,Written,1537,41804,41825,Late
Water & Environmental affairs,Written,1538,41804,41811,on time
Public Enterprises,Written,1539,41804,41830,late
Rural Dev & Land Reforms,Written,1540,41804,41843,late
Rural Dev & Land Reforms,Written,1541,41804,41843,late
Labour,Written,1542,41804,41830,late
Intl Relations and Cooperation,Written,1543,41811,41849,late
Intl Relations and Cooperation,Written,1544,41811,41837,late
